Employee_ID,Department,Age,Salary,Experience_Years,Performance_Score,Hire_Date
1,Finance,38,72941,9,4,2005-01-01 00:00:00.000000000
2,Marketing,46,51834,35,3,2005-03-12 02:10:54.545454545
3,HR,64,48047,19,4,2005-05-21 04:21:49.090909090
4,Finance,54,56105,16,2,2005-07-30 06:32:43.636363636
5,Finance,30,105766,3,2,2005-10-08 08:43:38.181818180
6,Marketing,56,45707,20,3,2005-12-17 10:54:32.727272724
7,HR,34,51976,24,1,2006-02-25 13:05:27.272727272
8,HR,51,74262,33,2,2006-05-06 15:16:21.818181816
9,Finance,35,53776,24,5,2006-07-15 17:27:16.363636360
10,IT,28,60080,11,2,2006-09-23 19:38:10.909090904
11,Finance,34,96842,8,2,2006-12-02 21:49:05.454545448
12,Finance,43,91373,36,1,2007-02-10 23:59:59.999999992
13,Finance,60,36776,38,4,2007-04-22 02:10:54.545454544
14,Finance,41,85016,20,2,2007-07-01 04:21:49.090909088
15,Marketing,36,39474,35,3,2007-09-09 06:32:43.636363632
16,HR,38,88053,25,4,2007-11-18 08:43:38.181818176
17,Marketing,44,51959,35,5,2008-01-27 10:54:32.727272720
18,Marketing,46,35530,25,1,2008-04-06 13:05:27.272727264
19,Marketing,45,33748,29,5,2008-06-15 15:16:21.818181808
20,Finance,61,43545,18,4,2008-08-24 17:27:16.363636352
21,IT,49,96199,18,4,2008-11-02 19:38:10.909090896
22,HR,35,64766,2,4,2009-01-11 21:49:05.454545440
23,IT,21,103530,35,5,2009-03-22 23:59:59.999999984
24,Marketing,45,91087,16,4,2009-06-01 02:10:54.545454528
25,Marketing,27,98840,36,5,2009-08-10 04:21:49.090909088
26,IT,29,84384,33,4,2009-10-19 06:32:43.636363616
27,IT,44,81005,4,3,2009-12-28 08:43:38.181818176
28,IT,21,76576,33,4,2010-03-08 10:54:32.727272704
29,Marketing,64,69353,14,5,2010-05-17 13:05:27.272727264
30,Marketing,28,92003,21,2,2010-07-26 15:16:21.818181792
31,HR,44,113211,20,4,2010-10-04 17:27:16.363636352
32,HR,31,82733,8,2,2010-12-13 19:38:10.909090880
33,Marketing,37,95318,7,3,2011-02-21 21:49:05.454545440
34,IT,28,119474,3,1,2011-05-03 00:00:00.000000000
35,IT,55,53664,17,3,2011-07-12 02:10:54.545454528
36,HR,55,97172,33,4,2011-09-20 04:21:49.090909088
37,Marketing,53,115616,12,2,2011-11-29 06:32:43.636363616
38,HR,25,56736,22,2,2012-02-07 08:43:38.181818176
39,HR,62,30854,22,5,2012-04-17 10:54:32.727272704
40,Finance,59,68623,30,2,2012-06-26 13:05:27.272727264
41,Finance,61,37392,38,5,2012-09-04 15:16:21.818181792
42,Finance,48,85680,38,1,2012-11-13 17:27:16.363636352
43,IT,27,76717,8,4,2013-01-22 19:38:10.909090880
44,Marketing,29,117092,27,5,2013-04-02 21:49:05.454545440
45,Marketing,28,80859,27,1,2013-06-11 23:59:59.999999968
46,Marketing,32,56309,34,2,2013-08-21 02:10:54.545454528
47,Marketing,54,117455,21,2,2013-10-30 04:21:49.090909056
48,Finance,53,93734,30,1,2014-01-08 06:32:43.636363616
49,IT,43,100467,33,2,2014-03-19 08:43:38.181818176
50,IT,44,82662,28,1,2014-05-28 10:54:32.727272704
51,Finance,57,42688,33,5,2014-08-06 13:05:27.272727232
52,IT,55,55342,5,5,2014-10-15 15:16:21.818181824
53,Finance,64,67157,19,1,2014-12-24 17:27:16.363636352
54,Marketing,60,97863,4,5,2015-03-04 19:38:10.909090880
55,Finance,42,82083,35,5,2015-05-13 21:49:05.454545408
56,Marketing,47,95733,17,5,2015-07-23 00:00:00.000000000
57,Marketing,55,119045,28,3,2015-10-01 02:10:54.545454528
58,HR,21,64698,30,4,2015-12-10 04:21:49.090909056
59,Finance,55,110623,29,2,2016-02-18 06:32:43.636363584
60,HR,57,52671,6,3,2016-04-28 08:43:38.181818176
61,Finance,34,55184,35,5,2016-07-07 10:54:32.727272704
62,Finance,23,72107,37,1,2016-09-15 13:05:27.272727232
63,HR,21,116202,24,5,2016-11-24 15:16:21.818181760
64,HR,25,81663,29,4,2017-02-02 17:27:16.363636352
65,Finance,46,45708,31,5,2017-04-13 19:38:10.909090880
66,IT,34,79811,35,1,2017-06-22 21:49:05.454545408
67,Marketing,59,32811,33,4,2017-09-01 00:00:00.000000000
68,HR,47,86250,21,5,2017-11-10 02:10:54.545454528
69,Marketing,29,102082,32,4,2018-01-19 04:21:49.090909056
70,IT,35,64754,23,2,2018-03-30 06:32:43.636363584
71,IT,35,41411,33,2,2018-06-08 08:43:38.181818176
72,IT,46,32911,3,5,2018-08-17 10:54:32.727272704
73,HR,62,97270,18,4,2018-10-26 13:05:27.272727232
74,IT,33,113763,25,1,2019-01-04 15:16:21.818181760
75,HR,52,38680,31,5,2019-03-15 17:27:16.363636352
76,IT,59,114896,3,2,2019-05-24 19:38:10.909090880
77,Marketing,52,113879,24,2,2019-08-02 21:49:05.454545408
78,Marketing,24,101295,32,5,2019-10-11 23:59:59.999999936
79,Finance,50,118614,22,4,2019-12-21 02:10:54.545454528
80,Marketing,57,41111,23,2,2020-02-29 04:21:49.090909056
81,Finance,43,67504,2,4,2020-05-09 06:32:43.636363584
82,Marketing,59,31802,27,2,2020-07-18 08:43:38.181818176
83,HR,35,38155,2,2,2020-09-26 10:54:32.727272704
84,Marketing,63,103656,26,3,2020-12-05 13:05:27.272727232
85,Finance,49,69384,17,2,2021-02-13 15:16:21.818181760
86,Finance,56,77254,33,1,2021-04-24 17:27:16.363636352
87,IT,33,51918,9,5,2021-07-03 19:38:10.909090880
88,HR,52,115981,39,5,2021-09-11 21:49:05.454545408
89,Marketing,27,90713,29,4,2021-11-20 23:59:59.999999936
90,IT,42,60306,26,2,2022-01-30 02:10:54.545454528
91,Marketing,48,46646,35,1,2022-04-10 04:21:49.090909056
92,Marketing,22,76843,25,4,2022-06-19 06:32:43.636363584
93,IT,62,46371,24,3,2022-08-28 08:43:38.181818112
94,IT,26,107371,13,4,2022-11-06 10:54:32.727272704
95,IT,48,32049,7,4,2023-01-15 13:05:27.272727232
96,IT,48,61616,36,2,2023-03-26 15:16:21.818181760
97,IT,64,50932,20,3,2023-06-04 17:27:16.363636352
98,Marketing,64,59855,1,4,2023-08-13 19:38:10.909090816
99,IT,40,91434,8,1,2023-10-22 21:49:05.454545408
100,HR,50,102694,16,1,2024-01-01 00:00:00.000000000
